teks,location,bulan,word_length,clean,clean_stem,sentiment,sentiment_text,num_sentimen_lexicon,cleaned
yuk vaksin tuanya kerabat lansianya ditemenin loh bonus diencus nemeninnya muda biar usia qta berani divaksin 🙂 https,DKI Jakarta,Maret,16,yuk tuanya kerabat lansianya ditemenin loh bonus diencus nemeninnya muda biar usia qta berani divaksin https,yuk tua kerabat lansia ditemenin loh bonus diencus nemeninnya muda biar usia qta berani vaksin https,6,positive,1,yuk vaksin tua kerabat lansia ditemenin loh bonus diencus nemeninnya muda biar usia qta berani vaksin
vaksin ga halal ditolak netflix amp chill jalan teros typical https,Nusa Tenggara Barat,Januari,10,ga halal ditolak netflix amp chill jalan teros typical https,ga halal tolak netflix amp chill jalan ros typical https,-4,negative,2,vaksin ga halal tolak netflix amp chill jalan ros typical
usanti merespon benda asing masuk gda dimasukin vaksin emg bersih ga kambuh dr nya nyaranin inject obat mnahan pso kambuh stelahnya vaksin,DI Yogyakarta,Juni,20,usanti merespon benda asing masuk gda dimasukin emg bersih ga kambuh dr nya nyaranin inject obat mnahan pso kambuh stelahnya,usanti merespon benda asing masuk gda dimasukin emg bersih ga kambuh dr nya nyaranin inject obat mnahan pso kambuh stelahnya,4,positive,1,usanti merespon benda asing masuk gda dimasukin vaksin emg bersih ga kambuh dr nya nyaranin inject obat mnahan pso kambuh stelahnya vaksin
kmhworlds pagi vaksin takut pergi 😭,Nusa Tenggara Timur,Juni,4,kmhworlds pagi takut pergi,kmhworlds pagi takut pergi,3,positive,1,kmhworlds pagi vaksin takut pergi
demamgatalga enak badan vaksinasi reaksi vaksin tubuh,Sumatera Utara,April,5,demamgatalga enak badan reaksi tubuh,demamgatalga enak badan reaksi tubuh,0,neutral,0,demamgatalga enak badan vaksinasi reaksi vaksin tubuh
vaksin ngelepasin,Lampung,April,1,ngelepasin,ngelepasin,0,neutral,0,vaksin ngelepasin
narasi habis divaksin meninggal korban meninggal penyakit vaksin meninggal penyakit covid korban md covid bertambah,Sumatera Selatan,Januari,12,narasi habis divaksin meninggal korban meninggal penyakit meninggal penyakit korban md bertambah,narasi habis vaksin tinggal korban tinggal sakit tinggal sakit korban md tambah,-13,negative,2,narasi habis vaksin tinggal korban tinggal sakit vaksin tinggal sakit covid korban md covid tambah
zarazettirazr tvonenews redaksi nya takut gk kebagian vaksin,Lampung,Januari,7,zarazettirazr tvonenews redaksi nya takut gk kebagian,zarazettirazr tvonenews redaksi nya takut gk bagi,-1,negative,2,zarazettirazr tvonenews redaksi nya takut gk bagi vaksin
kemenkesri masyarakat terkena penyakit amp sembuh berencana perjalanan transportasi udara laut amp darat kereta api mobil lainlain sertifikat test pcr vaksin,Sumatera Utara,Januari,20,kemenkesri masyarakat terkena penyakit amp sembuh berencana perjalanan transportasi udara laut amp darat kereta api mobil lainlain sertifikat test pcr,kemenkesri masyarakat kena sakit amp sembuh rencana jalan transportasi udara laut amp darat kereta api mobil lainlain sertifikat test pcr,-4,negative,2,kemenkesri masyarakat kena sakit amp sembuh rencana jalan transportasi udara laut amp darat kereta api mobil lainlain sertifikat test pcr vaksin
liat kolom komentarnya disaat negara sibuk vaksin indonesia ngeributin lockdown ga pembela tenaga medis kelelahan vs rakyat kelaparan https,Bali,Februari,18,lihat kolom komentarnya disaat negara sibuk indonesia ngeributin lockdown ga pembela tenaga medis kelelahan vs rakyat kelaparan https,lihat kolom komentar saat negara sibuk indonesia ngeributin lockdown ga bela tenaga medis lelah vs rakyat lapar https,9,positive,1,liat kolom komentar saat negara sibuk vaksin indonesia ngeributin lockdown ga bela tenaga medis lelah vs rakyat lapar
rvywr ikawikara pramadhiyaswd teman menyusui pakai sinovac vaksin aman,Jawa Barat,Mei,8,rvywr ikawikara pramadhiyaswd teman menyusui pakai sinovac aman,rvywr ikawikara pramadhiyaswd teman susu pakai sinovac aman,-4,negative,2,rvywr ikawikara pramadhiyaswd teman susu pakai sinovac vaksin aman
soksokan angkat barbel vaksin muter setir uda cenat cenut lengan 😑,Aceh,April,9,soksokan angkat barbel muter setir uda cenat cenut lengan,soksokan angkat barbel muter setir uda cenat cenut lengan,4,positive,1,soksokan angkat barbel vaksin muter setir uda cenat cenut lengan
curiga paduka vaksin covid dimainin melulu botak kesal ustad benzema doi kiainya ga berani diganti sungkan alim ulama dilaknat konon realmadrid kelompok pecinta tempenyol habis bennydoloin,Nusa Tenggara Barat,Januari,24,curiga paduka dimainin melulu botak kesal ustad benzema doi kiainya ga berani diganti sungkan alim ulama dilaknat konon realmadrid kelompok pecinta tempenyol habis bennydoloin,curiga paduka dimainin melulu botak kesal ustad benzema doi kiai ga berani ganti sungkan alim ulama laknat konon realmadrid kelompok cinta tempenyol habis bennydoloin,3,positive,1,curiga paduka vaksin covid dimainin melulu botak kesal ustad benzema doi kiai ga berani ganti sungkan alim ulama laknat konon realmadrid kelompok cinta tempenyol habis bennydoloin
vaksin lansia covid gratis oma aqu ratina wijaya jumat maret santa ursula 😊😇😘😘😘😘 terimakasih joko widodo vaksin gratis covid lansia 🙏🙏🙏🙏🙏😊😇😘😘😘😘😘 https,Banten,April,17,usia gratis oma ratina wijaya jumat maret santa ursula terimakasih joko widodo gratis usia https,usia gratis oma ratina wijaya jumat maret santa ursula terimakasih joko widodo gratis usia https,13,positive,1,vaksin lansia covid gratis oma aqu ratina wijaya jumat maret santa ursula terimakasih joko widodo vaksin gratis covid lansia
hidung mampet bereaksi sang vaksin,Kalimantan Tengah,Maret,4,hidung mampet bereaksi sang,hidung mampet reaksi sang,-3,negative,2,hidung mampet reaksi sang vaksin
gakbisa vaksin pakai keterangan dokter bodoh banget si heran,Maluku,Februari,8,gakbisa pakai keterangan dokter bodoh banget si heran,gakbisa pakai terang dokter bodoh banget si heran,2,positive,1,gakbisa vaksin pakai terang dokter bodoh banget si heran
